City_ID,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
226,Santa Rosa,PH,79.86,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
227,Rock Sound,BS,76.23,overcast clouds,24.9,-76.2,Pink Corral Bay Property
230,Rabaul,PG,82.0,overcast clouds,-4.1967,152.1721,Rabaul Hotel
231,Port Lincoln,AU,82.67,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
232,Lakes Entrance,AU,85.57,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
237,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
240,Faanui,PF,81.75,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
264,Hambantota,LK,75.6,overcast clouds,6.1241,81.1185,Bungalow 63
266,Machiques,VE,77.31,scattered clouds,10.0644,-72.545,hotel el markes
276,Samarai,PG,81.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
286,Grand Baie,MU,76.44,broken clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
289,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
291,Villa Carlos Paz,AR,78.08,scattered clouds,-31.4241,-64.4978,Monte Carlo vcp
298,Isangel,VU,83.41,few clouds,-19.55,169.2667,Tanna Lodge
300,Valdez,EC,78.28,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
305,Mogadishu,SO,77.59,few clouds,2.0371,45.3438,Hotel Juba
309,San Patricio,US,75.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
312,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
314,Biak,ID,80.73,broken clouds,-0.9131,122.8766,Penginapan Kim
326,Bengkulu,ID,76.01,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
331,Kirakira,SB,85.51,overcast clouds,-10.4544,161.9205,SanBiz Lodge
337,Vung Tau,VN,75.7,few clouds,10.346,107.0843,Green hotel
345,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
347,Kanigoro,ID,76.41,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
349,Balikpapan,ID,76.19,moderate rain,-1.2675,116.8289,ibis Balikpapan
358,Tamandare,BR,79.02,clear sky,-8.7597,-35.1047,Pousada 100 Passos
364,Mtwara,TZ,80.78,light rain,-10.2667,40.1833,TIL Hotels Mtwara
366,Pandan,PH,78.93,broken clouds,14.0453,124.1694,Bonifacio Lodge
375,San Rafael,AR,87.12,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
400,Alofi,NU,80.53,light rain,-19.0595,-169.9187,Taloa Heights
406,Vao,NC,77.23,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
407,Soyo,AO,77.27,overcast clouds,-6.1349,12.3689,Hotel Mpampa
408,Maragogi,BR,79.34,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
